Unnamed: 0,review_score,review_comment_message
47,5,Lindo relógio adorei
48,5,Muito bom alta qualidade!
49,5,"Produto bonito, entregue bem valado e dentro do prazo. Recomendo!"
50,5,Muito bom
51,5,"chegou dentro do prazo e o produto é de excelente qualidade! Acabou as dores nas costas, estou dormindo muito bem!"
52,5,"Acho que rastreando o produto devia ser melhor e mais preciso, mas no geral foi uma ótima experiência "
53,5,Ainda não tive a oportunidade de testar
54,5,nada a declarar
55,5,O produto chegou muito rapido e de boa qualidade recomendo o produto
56,5,Recomendo
57,4,Atendeu minha expectativa.
58,5,Entrega antes do prazo. Produto muito prático e de fácil manuseio. 
59,5,"otimo produto só nao veio manual, mas sem problemas."
60,4,"Uma das peças não encaixava, estava de diâmetro diferente. Eu tive que serrar e martelar para poder caber e encaixar.
De resto, tudo ok."
61,5,Excelente produto.
62,5,Tudo certo
63,5,Produto muito bom
64,5,super recomendo produto profissional de qualidade
65,5,muito bom e rapido quando vi ja tinha chegado
66,5,O produto chegou muito bem
67,5,otimo
68,5,Muito satisfeito
69,4,parabéns para loja e revendedor apesar de ter demorado um pouco
70,5,"Entregue dentro do prazo, e com bom período de validade."
71,5,"O Jogo de toalhas é lindo mais bonito do que na foto, amei."
72,5,sempre comprei no stark e estou satisfeito.
73,5,fiz a compra por tabela e graças A Deus deu tudo certo fico muito grato pode confiar.
74,5,produto de qualidade e eficiência na entrega. recebi muito antes do combinado. recomendo
75,5,Produto bom veio no dentro do prazo chegou em 08 dias estão de parabéns. 
76,5,"Tudo ok,o baratheon sempre responsável com a suas entregas."
77,5,A
78,5,entrega rapida
79,4,foi bom
80,5,Mercadoria certa entregue no prazo combinado. Grata
81,5,Entrega bem antes do prazo perfeito!!
82,5,Cada vez que compro mais fico satisfeita parabéns pela honestidade com seus clientes 👏👏👏👏?
83,5,bem rapido a entrega e bom comprar com vcs
84,4,"Entrega super rápida, parabéns!"
85,4,Tudo rápido e eficiente.
86,5,Creme maravilhoso e entrega super rápida
87,4,"Chegou hoje 
sem comentários"
88,5,Muito bom! Aquilo que esperava!
89,5,"Recebi meu produto corretamente e dentro do prazo,verificando na caixa esta tudo correto,mas ainda não montei.Produto lindo,cor perfeita,amamos.
SUPER RECOMENDO."
90,5,Parabéns .Produto entregue bem antes do prazo.Atendeu às minhas necessidades.
91,5,Recomendo.
92,5,ótimo chegou bem antes do prazo .
93,5,Entregue no prazo produto muito bom.
94,5,Acho q deveriam mandar por sedex ao invés de pac
95,5,Lindo... Só faltou instruções da troca de pulseiras.
96,5,"Produto exatamente conforme descrito.
Chegou bem antes do prazo!"
97,5,"O produto chegou bem antes do prazo estipulado, amei o atendimento! Super recomendo "
98,5,"recebi o produto dentro do prazo informado, ainda não utilizei."
99,4,"O pedido chegou antes do combinado, muito bom."
100,4,produto entregue conforme anunciado.
101,5,LOJA 10
102,4,"O violão que comprei é lindo, porém a cor do adesivo não confere com a foto do ato da compra, mas aprovei."
103,5,"Chegou antes do prazo!
Produto excelente!"
104,4,trabalho com profissionalismo das lojas lannister. indico com certeza
105,5,super recomendo o produto que é muito bom!
106,5,"Pré treino muito bom, um dos melhores do mercado, se não for o melhor. "
107,4," A loja postou o produto de e mediato o correio demorou um pouco
"
108,5,"Sempre compro no stark e sempre sou bem atendido, site eficiente e produtos de ótima qualidade, recomendo a todos podem comprar de olhos fechados! "
109,4,Muito bom desde da compra a entrega td direitinho e rapido
110,5,Tudo ok!
111,5,Entrega e qualidade do produto de acordo com o esperado.
112,5,Excelente recomendo
113,4,"muito bom, recomendo o produto."
114,5,quanto ao site não tenho o que questionar! sempre cumprem super o combinado ... recomendo sempre! mas o produto é fraco.. 
115,4,bom em todos os aspectos
116,5,Até hoje estou satisfeito com a sbmarino
117,5,Gostei!
118,5,Chegou antes do prazo é a cabeceira é linda.
119,5,10
120,5,Gostei do produto chegou no tempo certo os vendedores estão de parabéns
121,5,Atendimento excelente
122,4,Gostei 
123,5,Toalha do maior campeão do Brasil maravilhosa 
124,5,"A entrega foi realizado muito antes do previsto. 
Bom produto...estou satisfeita"
125,5,Até agora tudo bem estou esperando a entrega do produto
126,5,"A compra ocorreu como o esperado, desde de o pedido até o recebimento do produto. Tudo bem certinho. "
127,5,"O produto foi entregue antes do prazo.
"
128,4,"Gostei muito do produto era exatamente boque eu esperava, entrega dentro do prazo, parabéns recomendo a loja"
129,5,"já é a segunda vez que compro nesta loja,super eficiente entrega rápida e antes do prazo contratado, produto bem embalado , Nota 10
Muito Obrigado"
130,4,"otimo
"
131,5,"entrega rápida, produto conforme esperado"
132,5,Tudo como anunciado....Ótimo produto...
133,4," adorei o produto;; recebi antes do prazo combinado ,, ficou muito bonito"
134,5,Muito satisfeito.
135,4,Otimo produto porem caro demais !!! 
136,5,"Produtos otimos, entrega rápida.
Super recomendo!!!"
137,5,Tive um pós venda excelente através do Sr Renato
138,5,"Gostei muito do produto, a entrega veio antes do prazo. Recomendo, fica bem encaixado no celular, não tira a elegância do aparelho, como outras as capas que deixam monstruoso com o tamanho."
139,5,Muito bom
140,5,"Recomendo a todos. Produto de ótima qualidade, entregue sem problemas."
141,5,Produto chegou dentro do prazo. Veio conforme descrição e é excelente.
142,4,"o produto chegou antes do prazo, e gostei bastante!! agora meu rapazinho de 3 aninhos vai aproveitar ao maximo!!"
143,4,Loja Nota 10
144,5,Parabéns. Recebi antes do prazo . tudo correto como foi combinado.
145,5,Muito bom mesmo!
146,5,Entrega antes do prazo produto muito bem conservado. 
147,5,Produto de ótima qualidade. Adorei!
148,5,"Apesar da demora em expedir a nota fiscal, depois de expedida a entrega foi rápida e o produto veio bem embalado. Recomendo."
149,5,nota 10
150,5,Ótimo serviço
151,4,"Ótima compra. Ótimo produto. Só senti falta de algum comunicado entre a compra e a chegada do produto, só contato. Mas valeu."
152,5,Perfeitos😁
153,5,"prazo foi estendido,porém entregue no prazo divulgado na propaganda. Cadeira conforme foto, vem para montar, mais fácil e linda"
154,5,"Simplesmente lindo!!
Adorei o produto!!
Tamanho perfeito!!
Já comprei várias produtos, já faz anos que compro no baratheon !!"
155,4,MUITO BOM! CHEGOU DENTRO DO PRAZO.
156,5,"Otimo, preço, entregou antes do prazo e produto de ótima qualidade.
"
157,5,só poderia entregar mais rápido fim de ano 
158,5,"Otima Venda, tudo perfeito."
159,5,Produto de ótima qualidade!! Chegou antes do tempo esperado. Amei <3
160,5,"Veio bem embalado, Envio rápido! "
161,5,Estou muito satisfeita com a minha compra e com o recebimento do produto; dentro do prazo!
162,5,Produto correspondente as minhas expectativas! Foi entregue antes do prazo estabelecido! 
163,4,Indico a loja compro sempre na lannister .
164,5,"Foi tudo normal , como é mesmo uma compra por internet. Obrigado."
165,4,Boa compra.
166,4,"Produto chegou dentro do prazo. Atende pelo custo benefício, porém a bolsa não é forrada e a alça é de plástico. Estou satisfeita."
167,5,Estou plenamente satisfeita com minha aquisição. E recomendo. A única coisa que não concordo é com o valor de frete. Autíssimo.
168,5,Entrega e produto perfeito!
169,5,Parabéns 😤 pelo excelente atendimento de qualidade.
170,4,Produto entregue antecipadamente.
171,5,gostei de comprar recebi o produto antes do prazo e de boa qualidade. recomendo.
172,5,"Super recomendo, stark Sempre chegando antes da dta prevista =D"
173,4,Correios não entregou 
174,4,"Entrega feita no prazo e produto em perfeitas condicoes
Parabens a equipe"
175,5,"Produto perfeito, entrega rápida. Estou satisfeitíssima. 👏🏽"
176,5,O pedido chegou antes do prazo. Obrigada.
177,4,"Produto de alta qualidade. Descrição confere com o produto
Entregue no tempo certo.
Recomendo."
178,5,O relógio é lindo e a entrega foi muito rápida. Recomendo!
179,5,"Adorei! Pequeno, fácil de usar, não arranha apela e limpa a pele.. recomendo"
180,5,"Como sempre, excelente serviço."
181,4,Como sempre lannister entrega certinho
182,5,"Produto perfeito, chegou antes do prazo!"
183,5,"Muito bom o produto, melhor que esperava e foi entregue no prazo, gostei bastante. "
184,5,Sdds 
185,5,muito bom o produto.Recomendo
186,5,entrega dentro do prazo isso é importante. 
187,5,"Gostei muito , o objeto veio o mesmo comprado, já comprei em outras lojas e veio outra cor ñ Gostei! Com lannister tudo ok."
188,5,tudo certinho entrega no prazo ótimo.
189,4,Recomendo!
190,5,Ótimo perfume. Fragrância maravilhosa. Recomendo
191,4,muito boa e rapida e o produto veio em bom estado agora e mesmo fazer os testes!
192,5,O produto superou minha expectativa. O prazo de entrega foi antecipado em 7 dias. Já instalei e ficou show. 
193,5,entrega rapida
194,5,"Previsão de entrega até 18/10, recebi em 05/10, excelente."
195,5,Loja em si é boa pena a americana nao da suporte ao cliente 
196,5,Exatamente o que eu precisava 
197,5,"Obrigada, chegou mto rápido"
198,4,O único problema é que a marcação de data é a marcação americana.
199,4,Acho que o produto deveria ter um prazo de validade maior.
200,5,"Entrega antes do prazo, recomendo essa loja."
201,5,show 
202,5,"Excelente produto, bonito e sofisticado."
203,4,Não veio a nota fiscal
204,5,"agradeço muito, pois recebi o produto correto conforme encontrado no site, a entrega foi super rápida. fiquei muito satisfeito e com certeza vou recomentar para os amigo."
205,5,Entrega rápida produto conforme anunciado
206,5,Estou muito satisfeita chegou antes do prazo super recomendo 
207,4,Produto chegou antes do prazo estipulado e atendeu plenamente minhas expectativas. 
208,4,"Entrega dentro do prazo, produto sem nenhum problema"
209,5,bom
210,5,Boa qualidade e preço.
211,5,Sempre entrega antes do prazo.
212,5,muito bom.super recomendo.entrega sempre certa.
213,5,Entregue antes do prazo! Produto perfeito!
214,5,"Recomendo para todos, não tive problema nenhum, mercadoria e prazo ótimos."
215,5,Gostei de ter comprado nesta loja. Atendimento perfeito.
216,5,Sempre compro e sempre recebo o produto certo no prazo ou antes do prazo
217,5,ENTREGA MUITO RAPIDA 
218,5,O produto foi entregue bem antes do prazo.adorei
219,5,Ainda nao instalei mais gostei muito
220,5,Bom produto. Entrega rápida. Recomendo
221,5,Produto recebido no prazo e em perfeitas condições.
222,5,muito bom
223,5,N/a
224,4,"O produto chegou como eu imaginava,por enquanto estou gostando
"
225,5,Ótima rápida na entrega OBRIGADO 
226,5,"Produto bom, prazo bom..."
227,5,Muito bom. Já é o segundo objeto que compro e recebi sem problema nenhum 
228,5,Bonito e de boa qualidade. Adorei 
229,5,O produto chegou antes do prazo. 
230,5,Vendedor compromisso do vou o cliente
231,5,Muito satisfeito entrega super rápida.. Show ..parabéns.. eu vacilei e comprei um celular nas casas Bahia tem quase um mês e não entregaram.. 
232,5,ótimo
233,5,Tudo cento e no prazo recomento
234,5,Compra perfeita. 
235,4,"Recomendo esta loja entrega direitinho
"
236,4,"Tudo conforme e entrega muito rápida!!!! Que pena que não verifiquei a cor, pois era preta e precisava de cinza. Outro ponto que tive que lixar pouco para funcionar, mas nada demais."
237,5,Entrega rapida e correta
238,4,Produto de fácil montagem e atende perfeitamente ao propósito para otimizar espaço.
239,4,Gostei do produto
240,5,Produto de ótima qualidade
241,5,Recomendo está loja.
242,5,Ótimo produto. 
243,5,Excelente
244,5,"Continuem assim, com essa responsabilidade com o consumidor, tanto no produto, quanto no prazo de entrega. Primeira vez que compro e vou comprar muitas. Obrigado."
245,5,"Adorei. Moderno, bonito, meu cantinho do café vai ficar top"
246,4,"bom , foi o que esperava."
247,4,"Tudo correu como combinado, nada a reclamar."
248,4,"De fácil manuseio, até o presente atende as expectativas. "
249,5,Relógio lindo entrega antes do prazo
250,4,Veio conforme o anunciado simples mais bonita. 
251,5,Produto condiz com o anúncio 
252,4,satisfeito eu recomendo
253,5,"Amei, chegou rapidinho, ainda vou testa-lo.Obrigado!!"
254,5,Gostei muito do que comprei com vcs muito obrigada breve farei outras compras vanda
255,4,"Recebi, a bolsa é diferente mas gostei estava previsto pra 31 de janeiro estava achando muito tempo porque é pra escola e estou aguardando o vale compra da primeira compra da bolsa que não deu certo "
256,5,"Recebi o produto que queria e antes do prazo combinado, muito bom, recomendo com certeza."
257,5,Produto entregue antes do prazo combinado. Não é a primeira vez que compro pelo site Lojas lannister e recomendo tal empresa pela seriedade no trato com os clientes.
258,4,Agradeço muito bom.
259,4,*******************
260,5,Dentro do previsto
261,5,Recebi antes do prazo estimado.
262,5,Só imaginei que fosse maior a boneca. Mais é legal 
263,5,"Atenciosos,ligam para dar acompanhamento. Bom prazo de validade. Demorou de chegar. Agora é verificar a qualidade do produto."
264,5,Muito eficiente entregou bem rápido eu recomendo
265,5,Otimo produto e entrega no prazo
266,4,"Chegou antes da data do prazo, porem vazou um pouco do produto! "
267,5,"Sempre que compro com vocês meus itens chega em perfeito estado....
"
268,5,Produto entregue antes do prazo em ótimo estado.
269,5,Entrega super rápida. Produto de ótima qualidade. Recomendo.
270,5,"Produto lindo, ótimo"
271,5,excelente
272,4,Entrega uma dia antes do previsto
273,4,"Demora um pouco pra esquentar, mesmo na potência máxima 5. Mas atende bem. Nos rimeiros dias de uso tem um cheiro meio que borracha queimada, mas passa... recomendo pela praticidade e custo/benefício."
274,5,"Foi entregue bem embalado.
Entrega rapido comforme prometido
Comforme a imagem."
275,5,Tudo ocorreu de forma eficiente
276,5,O produto chegou antes do prazo e em perfeitas condições. 
277,5,"produto conforme anunciado, e veio antes do prazo...perfeito"
278,4,Produto bom e entregue antes do previsto.
279,4,"Ainda não usei em nenhuma viagem, mas parece ser muito boa."
280,5,Recomendo
281,4,Adoro comprar nas lojas lannister
282,5,"Entrega muito rápido, e produto excelente "
283,5,Ótimo 
284,5,Produto entregue
285,5,"Muito bom
"
286,5,Recebi o produto que eh falso quero meu dinheiro de volta 
287,5,"Produto bom. Entrega antes do prazo
"
288,4,Bom
289,5,gostei muito
290,5,"Gostei muito,chegou tudo certinho até antes do prazo de entrega."
291,5,Produto entregue dentro do prazo .
292,5,"Recebi o produto no prazo, tudo ok"
293,5,Entrega no prazo e como descrito no site
294,5,A lannister sempre se superandoo
295,5,Fui surpreendido pela eficácia. Ótimo atentimento.
296,5,"otimo atendimento, tudo certo, entregue dentro do prazo."
297,5,"Obrigada pela qualidade do produto, e pela entrega tbm que era previsto para 10/08 e chegou dia 22/07. Adorei. Parabéns."
298,4,Ainda não utilizei o produto
299,5,"Muito linda deu um charme na minha sala.
"
300,5,Ótimo atendimento e entrega antes do prazo.
301,4,Recomendo.
302,4,Otimo material bem resistente espaçosa 👏👏👏 gostei!
303,5,Ótimo serviço
304,5,Prestação de serviços de alta qualidade 
305,5,"Produto entregue bem embalado ,em perfeitas condições. "
306,5,"Chegou antes da data prevista , eu recomendaria para meus amigos a loja stark está de parabéns ."
307,5,Tapete lindo.Chegou muito antes do prazo.
308,4,Gostei muito
309,4,Poderia ter agilizado com a entrega! Porém recebi o produto em ótimas condições!
310,5,"Protudo chegou em ótimo estado de conservação, e antes do prazo!"
311,5,Produto de excelente qualidade e a entrega foi feita antes do prazo previsto. Muito satisfeita. 
312,5,"O produto é muito lindo e está com preço excelente! A entrega foi super rápida, ocorrendo muito antes do prazo! 
Recomendo! O quarto ficou irado!!!!"
313,5,Muito satisfeito eu recomendo
314,5,Podem comprar sem medo
315,4,"gosto de comprar nessa loja porque agente ñ precisa avisar da entrega
"
316,5,Excelente produto!!
317,5,Produto entregue no prazo nota 10
318,5,"Muito Bom , exelente"
319,5,atendimento eficaz e entrega dentro do prazo
320,5,"Chegou um pouco antes do prazo, isso é bom"
321,5,Gostei demais do travesseiro. É como descrito no site.
322,5,Super recomendo.entrega e produtos ok.
323,5,"Satisfeito com a aquisição e negócio.
Entrega no prazo, com produto bem embalado, com a Nota Fiscal, caixa original, garantia e manual do usuário.
Primeiras impressões o relógio está em perfeito."
324,5,Atendeu as expectativas
325,5,"MUITO BOM, ENCOMENDA CHEGOU CERTINHA"
326,5,Produto chegou rapidamente e conforme o anunciado.
327,5,"Produto de qualidade, preço justo, entrega dentro do prazo.
O produto atendeu as minhas expectativas.
Recomendo o vendedor."
328,5,"Adorei o produto,chegou antes do prazo estipulado.Estou muito satisfeita."
329,5,tudo ok
330,4,Produto simples e bonito
331,5,Gostei muito da agilidade na entrega
332,4,Esperava maior um pouco
333,5,"Produto chegou antes do prazo, muito bem embalado pelo fornecedor, sem avarias.

A qualidado produto é muito boa."
334,5,Produtos muito bons! 
335,5,Otimo produto
336,4,o produto demorou um mês para ser entregue . tempo demais poderia ter chegado antes da data limite. fora isso tudo oK.
337,5,"só acho que poderia ter comprado mais cartuchos, mas não as fiz porque cada cartucho veio em um frete diferente, coisa que poderiam ser colocados em um único pacote, o que baratearia o frete."
338,5,Excelente serviço
339,5,comprei num dia e recebi no outro e a mercadoria é excelente!!!
340,4,"Conforme já solicitei, preciso fazer a devolução. Ele não foi entregue no prazo que eu precisa. Já solicitei por aqui e já entrei em contato com o vendedor. Estou no aguardo para fazer a devolução."
341,5,GOSTAEI DA RAPIDEZ DA ENTREGA
342,5,Parabéns 
343,5,"Produto chegou no prazo, em perfeitas condiçoes e veio embalado de forma incrivel. Muito bem embalado mesmo... Chegou sem nenhum arranhao! "
344,4,Comprei 2(dois) produtos iguais e tive que pagar 2(dois) fretes. A Empresa poderia ter colocado em uma única embalagem e cobrar apenas um frete. Produto entregue em perfeitas condições. Ótimo produto.
345,5,Ótimo produto!
346,5,Entrega muita rápida e produto em ótimo estado.
347,5,Gostaria de saber se o produto mudou de embalagem. Pois comprei a embalagem vermelha e recebi outra embalagem toda florida. Preciso saber se é o mesmo produto. 
348,4,"Lavabo bem bonito e igual a descrição, veio com uma mancha bem pequena, mas nada que seja um problema, recomendo."
349,5,Ótimo em TDS os aspectos
350,4,Aida nao recebi o produto
351,5,Recebi antes da data prometida. Recomendo esta loja. 
352,4,Demorou quase trinta dias .tempo demais
353,5,Gostei muito
354,5,Bom
355,5,"ate agora tudo perfeito, produto e entrega no prazo"
356,5,"produto ok, recebido dentro do prazo, bem antes do previsto."
357,5,Tudo ok.
358,5,Ótimo produto! Recomendo!
359,5,bom
360,4,O produto chegou conforme anunciado. Gostei.
361,5,Dentro do prazo e informacoes do encaminhamento do produto de forma clara
362,5,Excelente. Recomendo.
363,5,Gostei
364,5,Loja de confiança chegou no praso
365,4,"amei o produto, super fácil de manusear e a lannister está de PARABÉNS, pois chegou BEM ANTES do prazo."
366,5,Super recomendo os produtos são lindos!!😍😍
367,5,Gostei muito do produto. Entrega muito rápida.
368,4,Excelente produto e a entrega chegou antes do prazo previsto!!! Ótimo
369,5,produto chegou antes do prazo estabelecido.
370,5,"Excelente chegou antes do combinado, parabéns!"
371,4,Gostei muito do produto nao tem ardencia nos olhos e nem cheiro alisou 90% fos meus cabelos mais acho que da segunda vez ficara super liso.
372,5,Entregou antes do prazo estipulado. ÓTIMO. Por isso que sempre compro no site.
373,4,"APESAR DE NÃO TER UM BOM ACABAMENTO, O PRODUTO É BEM FUNCIONAL."
374,5,"Entrega perfeita, até antes do prazo. produto em perfeito estado e de ótima qualidade. "
375,4,aaa
376,5,Ótimo produto 
377,5,Veio certinho e super rápido! Amei meu lustre gente!!!!
378,5,"Bonito, bom e chegou rápido"
379,4,Satisfeito 
380,5,Chegou dentro do prazo. Muito bonito. Valeu.
381,5,Muito bom recomendo
382,5,otimi produto entrega excelente
383,4,legal. tudo certo. entrega rapida
384,5,Amei....
385,4,Produto entregue antes do prazo. Bom custo benefício. 
386,4,O produto foi entregue antes do prazo. E aprovado!
387,5,"Chegou bem antes do prazo determinado, e tudo certinho amei o produto e super recomendo."
388,5,atendeu as expectivas
389,5,"Compro por que confio, minhas comprar sempre chegaram no prazo e até antes dele, nunca tive problemas eu recomendo."
390,5,Mercadoria conforme foi pedido. Chegou antes do prazo. Recomendo!
391,4,"Produto entregue, para os leigos como eu: as peças vêm desmontadas e devemos montar, algumas, tal qual a biciclieta, necessitam de cola para permanecer de pé: melhor opção é a cola madeira. "
392,4,"Bom, a resma chegou muitobem embalada, dentro do prazo e afora vamos testar para verificar a qualidade do papel."
393,4,Produto correto e entregue no prazo conforme acordado. Eu recomendo.
394,5,"Super recomendo ; para mim, foi uma agradável surpresa, o nível de atendimento da Amaricanas.com
Sensacional!!!"
395,5,"Parabéns a loja lannister e o parceiro meu produto veio bem embalado e ele é mto lindo e grande do jeito que eu queria .
A cor marrom é conforme mostra na foto eu amei o meu pendente ."
396,5,Maravilhosa 
397,4,Ainda falta a capa
398,4,Entrega foi rapida sobre o perfume é bom mas ja tive melhores mas pelo valor vale a pena 
399,5,"Ótimo produto, estou satisfeito com minha compra"
400,5,bom tmb
401,5,veio no prazo e funcionando muito bem.
402,5,maravilhoso
403,5,Entrega rápida e pedido entregue conforme solicitado. Recomendo.
404,4,CUMPRIRAM...
405,4,"Muito frágil, mas funciona certinho."
406,5,"Comunicação e respeito com o consumidor. É raro,comprar aqui sempre"
407,5,"Estou muito satisfeita, a rapidez que chegou o produto , bem antes do previsto"
408,5,Melhor fantasia da vida
409,5,"Loja eficiente,entrega correta e antes do prazo."
410,5,ótima
411,5,Eu recomendaria essa loja. Chegou dentro do prazo. E ótima mercadoria 
412,4,adorei veio certinho muito obrigado
413,5,"Entrega feita e o produto é o que eu queria, muito bom!! "
414,5,"bom produto, veio sem neum defeito bom. "
415,5,Chegou super rápido e bem embalado.
416,5,Melhor site de compras pela internet!
417,5,Chegou muito antes do prazo!
418,5,"Chegou antes da data prevista, tudo ok"
419,5,"eu tinha aberto a reclamação solicitando o reenvio ontem e durante a tarde aconteceu

grato"
420,4,Foi Boa a compra recomendo
421,4,Produto dentro dom esperado.
422,5,"a troca mais rápida do mundo. Estou realmente impressionado com a eficiência do stark. Não tive nenhuma burocracia, o produto da troca estava em minha casa em um piscar de olhos. Parabéns."
423,5,Ótimo produto ! Prazo rápido !!!
424,5,"Ainda não pode avaliar o produto. Estou aguardando a Matriz e os botões, também comprados no site das Lojas lannister.
Estou estranhando o fato da nota fiscal desses produtos não ter sido emitida. "
425,5,"Entrega dentro do prazo, e produto em excelente condição"
426,5,"Produto igual ao anunciado, estou super satisfeita.Funciona perfeitamente."
427,5,Recebi o produto no prazo e bem embalado!
428,5,Cofre com bom espaço interno e prateleira para facilitar a organização. Bom produto.
429,5,"chegou antes do prazo, e o produto mto bom"
430,4,"Respondi que sim para ""recebi o produto correto"" por falta de opção. Eu ainda não vi o produto. Não quis abrir a embalagem, pois é presente. Caso haja alguma desconformidade entrarei em contato."
431,5,esta de acordo com meus propósitos
432,4,X
433,4,"Produto bonito, parece de boa qualidade, entretanto, nas imagens do site, o produto parecia mais robusto, elegante e com cor uniforme. O tom varia..."
434,4,Ainda não instalei mas chegou no prazo certinho!!
435,5,"Ótimo produto, entrega muito rápida!"
436,5,"Ótimo, excelente produto recomendo a todos "
437,4,nao veio o produto que pedi veio um quite de marmitas 10 peças eu comprei um jogo de panelas
438,5,parabenizo pela qualidade do produto e pontualidade na entrega..
439,5,"Tapete lindo e personalizado, bordado em volta e com o logo classic, todo de borracha PVC, mt bom fácil de limpar"
440,5,Produto bem acabado 👍🏻
441,5,ótimo produto e entrega super rápida.
442,5,Recebi i procuto antes do prazo determinado...
443,4,"BOA LOJA, CUMPRIU TUDO O QUE ESTAVA NO ANUNCIO! A ENTREGA FOI SUPER-RÁPIDO!"
444,5,Produto chegou antes do prazo 
445,5,"O tapete e muito lindo e material muito bom, super fofinho. A entrega foi dentro do prazo, so o embrulho que ele veio e que assusta e tao pequeno que nem parece que tem um lindo tapete dentro ."
446,5,"Ótima loja, produto muito bonito, entrega antes do prazo. Recomendo!!!!"
447,5,Bom
448,5,Hoje no mercado encontramos roteador de baixa potência. E este aparelho é muito bom e potente 
449,4,"De forma geral o produto é bom, porém, som sai muito baixo o que torna produto em um produto de média qualidade."
450,5,Muito bom amei o produto
451,5,"Ainda não recebi um dos relógios, ainda aguardando...obrigada!"
452,4,Nao foi possível verificar no site que um dos lados da almofada era preto.
453,4,Não abri a caixa ainda ! 
454,5,o produto é de alta qualidade... adorei!!!!
455,5,Muito obrigada
456,4,Produto muito frágil
457,5,"Ótima entrega, rápida e objetiva"
458,5,"Gostei bastante do tecido, bem macio"
459,5,o produto e muito bom obrigada 
460,4,"chegou, obrigada
mas a caixa, a embalagem
amassada e é um presente."
461,5,"OTIMO , "
462,5,Produto entregue conforme contratado.
463,5,Segunda compra na loja. Estou muito satisfeito. Produtos chegaram rapidamente. Recomendo. 
464,5,Adorei os produtos somente achei muito ruim ter de pagar 2 fretes para o mesmo produto do mesmo vendedor 
465,5,"Gostei, som mt. bom."
466,5,Entrega antes do prazo - Otimo
467,5,"Há varios anos compro na loja stark e até agora, nada tenho a reclamar."
468,5,Ainda não recebi o produto 
469,5,"lannister está de parabéns, entrega super rápida."
470,5,"Balança de ótima qualidade, tem suprido as minha necessidade com muita eficiência. "
471,5,"Loja totalmente confiável, produto entregue antes do prazo, todo o trajeto do produto foi informado corretamente! Produto foi entregue em perfeitas condições para uso, e exatamente como solicitado! "
472,5,Produto bom e entrega rápida
473,5,Bom
474,5,"Melhor preço e entrega super rápida, sou fregues a muito tempo, loja totalmente confiável..."
475,5,e a melhor loja para fazer compras
476,5,Bom demais
