,review_score,review_comment_message,Sentiments
136,5,"Produtos otimos, entrega rápida.
Super recomendo!!!",Thích
137,5,Tive um pós venda excelente através do Sr Renato,Thích
138,5,"Gostei muito do produto, a entrega veio antes do prazo. Recomendo, fica bem encaixado no celular, não tira a elegância do aparelho, como outras as capas que deixam monstruoso com o tamanho.",Thích
139,5,Muito bom,Thích
140,5,"Recomendo a todos. Produto de ótima qualidade, entregue sem problemas.",Thích
141,5,Produto chegou dentro do prazo. Veio conforme descrição e é excelente.,Thích
142,4,"o produto chegou antes do prazo, e gostei bastante!! agora meu rapazinho de 3 aninhos vai aproveitar ao maximo!!",Thích
143,4,Loja Nota 10,Thích
144,5,Parabéns. Recebi antes do prazo . tudo correto como foi combinado.,Thích
145,5,Muito bom mesmo!,Thích
146,5,Entrega antes do prazo produto muito bem conservado. ,Thích
147,5,Produto de ótima qualidade. Adorei!,Thích
148,5,"Apesar da demora em expedir a nota fiscal, depois de expedida a entrega foi rápida e o produto veio bem embalado. Recomendo.",Thích
149,5,nota 10,Thích
150,5,Ótimo serviço,Thích
151,4,"Ótima compra. Ótimo produto. Só senti falta de algum comunicado entre a compra e a chegada do produto, só contato. Mas valeu.",Thích
152,5,Perfeitos😁,Thích
153,5,"prazo foi estendido,porém entregue no prazo divulgado na propaganda. Cadeira conforme foto, vem para montar, mais fácil e linda",Thích
154,5,"Simplesmente lindo!!
Adorei o produto!!
Tamanho perfeito!!
Já comprei várias produtos, já faz anos que compro no baratheon !!",Thích
155,4,MUITO BOM! CHEGOU DENTRO DO PRAZO.,Thích
156,5,"Otimo, preço, entregou antes do prazo e produto de ótima qualidade.
",Thích
157,5,só poderia entregar mais rápido fim de ano ,Thích
158,5,"Otima Venda, tudo perfeito.",Thích
159,5,Produto de ótima qualidade!! Chegou antes do tempo esperado. Amei <3,Thích
160,5,"Veio bem embalado, Envio rápido! ",Thích
161,5,Estou muito satisfeita com a minha compra e com o recebimento do produto; dentro do prazo!,Thích
162,5,Produto correspondente as minhas expectativas! Foi entregue antes do prazo estabelecido! ,Thích
163,4,Indico a loja compro sempre na lannister .,Thích
164,5,"Foi tudo normal , como é mesmo uma compra por internet. Obrigado.",Thích
165,4,Boa compra.,Thích
166,4,"Produto chegou dentro do prazo. Atende pelo custo benefício, porém a bolsa não é forrada e a alça é de plástico. Estou satisfeita.",Thích
167,5,Estou plenamente satisfeita com minha aquisição. E recomendo. A única coisa que não concordo é com o valor de frete. Autíssimo.,Thích
168,5,Entrega e produto perfeito!,Thích
169,5,Parabéns 😤 pelo excelente atendimento de qualidade.,Thích
170,4,Produto entregue antecipadamente.,Thích
171,5,gostei de comprar recebi o produto antes do prazo e de boa qualidade. recomendo.,Thích
172,5,"Super recomendo, stark Sempre chegando antes da dta prevista =D",Thích
173,4,Correios não entregou ,Thích
174,4,"Entrega feita no prazo e produto em perfeitas condicoes
Parabens a equipe",Thích
175,5,"Produto perfeito, entrega rápida. Estou satisfeitíssima. 👏🏽",Thích
176,5,O pedido chegou antes do prazo. Obrigada.,Thích
177,4,"Produto de alta qualidade. Descrição confere com o produto
Entregue no tempo certo.
Recomendo.",Thích
178,5,O relógio é lindo e a entrega foi muito rápida. Recomendo!,Thích
179,5,"Adorei! Pequeno, fácil de usar, não arranha apela e limpa a pele.. recomendo",Thích
180,5,"Como sempre, excelente serviço.",Thích
181,4,Como sempre lannister entrega certinho,Thích
182,5,"Produto perfeito, chegou antes do prazo!",Thích
183,5,"Muito bom o produto, melhor que esperava e foi entregue no prazo, gostei bastante. ",Thích
184,5,Sdds ,Thích
185,5,muito bom o produto.Recomendo,Thích
186,5,entrega dentro do prazo isso é importante. ,Thích
187,5,"Gostei muito , o objeto veio o mesmo comprado, já comprei em outras lojas e veio outra cor ñ Gostei! Com lannister tudo ok.",Thích
188,5,tudo certinho entrega no prazo ótimo.,Thích
189,4,Recomendo!,Thích
190,5,Ótimo perfume. Fragrância maravilhosa. Recomendo,Thích
191,4,muito boa e rapida e o produto veio em bom estado agora e mesmo fazer os testes!,Thích
192,5,O produto superou minha expectativa. O prazo de entrega foi antecipado em 7 dias. Já instalei e ficou show. ,Thích
193,5,entrega rapida,Thích
194,5,"Previsão de entrega até 18/10, recebi em 05/10, excelente.",Thích
195,5,Loja em si é boa pena a americana nao da suporte ao cliente ,Thích
196,5,Exatamente o que eu precisava ,Thích
197,5,"Obrigada, chegou mto rápido",Thích
198,4,O único problema é que a marcação de data é a marcação americana.,Thích
199,4,Acho que o produto deveria ter um prazo de validade maior.,Thích
200,5,"Entrega antes do prazo, recomendo essa loja.",Thích
201,5,show ,Thích
202,5,"Excelente produto, bonito e sofisticado.",Thích
203,4,Não veio a nota fiscal,Thích
204,5,"agradeço muito, pois recebi o produto correto conforme encontrado no site, a entrega foi super rápida. fiquei muito satisfeito e com certeza vou recomentar para os amigo.",Thích
205,5,Entrega rápida produto conforme anunciado,Thích
206,5,Estou muito satisfeita chegou antes do prazo super recomendo ,Thích
207,4,Produto chegou antes do prazo estipulado e atendeu plenamente minhas expectativas. ,Thích
208,4,"Entrega dentro do prazo, produto sem nenhum problema",Thích
209,5,bom,Thích
210,5,Boa qualidade e preço.,Thích
211,5,Sempre entrega antes do prazo.,Thích
212,5,muito bom.super recomendo.entrega sempre certa.,Thích
213,5,Entregue antes do prazo! Produto perfeito!,Thích
214,5,"Recomendo para todos, não tive problema nenhum, mercadoria e prazo ótimos.",Thích
215,5,Gostei de ter comprado nesta loja. Atendimento perfeito.,Thích
216,5,Sempre compro e sempre recebo o produto certo no prazo ou antes do prazo,Thích
217,5,ENTREGA MUITO RAPIDA ,Thích
218,5,O produto foi entregue bem antes do prazo.adorei,Thích
219,5,Ainda nao instalei mais gostei muito,Thích
220,5,Bom produto. Entrega rápida. Recomendo,Thích
221,5,Produto recebido no prazo e em perfeitas condições.,Thích
222,5,muito bom,Thích
223,5,N/a,Thích
224,4,"O produto chegou como eu imaginava,por enquanto estou gostando
",Thích
225,5,Ótima rápida na entrega OBRIGADO ,Thích
226,5,"Produto bom, prazo bom...",Thích
227,5,Muito bom. Já é o segundo objeto que compro e recebi sem problema nenhum ,Thích
228,5,Bonito e de boa qualidade. Adorei ,Thích
229,5,O produto chegou antes do prazo. ,Thích
230,5,Vendedor compromisso do vou o cliente,Thích
231,5,Muito satisfeito entrega super rápida.. Show ..parabéns.. eu vacilei e comprei um celular nas casas Bahia tem quase um mês e não entregaram.. ,Thích
232,5,ótimo,Thích
233,5,Tudo cento e no prazo recomento,Thích
234,5,Compra perfeita. ,Thích
235,4,"Recomendo esta loja entrega direitinho
",Thích
236,4,"Tudo conforme e entrega muito rápida!!!! Que pena que não verifiquei a cor, pois era preta e precisava de cinza. Outro ponto que tive que lixar pouco para funcionar, mas nada demais.",Thích
237,5,Entrega rapida e correta,Thích
238,4,Produto de fácil montagem e atende perfeitamente ao propósito para otimizar espaço.,Thích
239,4,Gostei do produto,Thích
240,5,Produto de ótima qualidade,Thích
241,5,Recomendo está loja.,Thích
242,5,Ótimo produto. ,Thích
243,5,Excelente,Thích
244,5,"Continuem assim, com essa responsabilidade com o consumidor, tanto no produto, quanto no prazo de entrega. Primeira vez que compro e vou comprar muitas. Obrigado.",Thích
245,5,"Adorei. Moderno, bonito, meu cantinho do café vai ficar top",Thích
246,4,"bom , foi o que esperava.",Thích
247,4,"Tudo correu como combinado, nada a reclamar.",Thích
248,4,"De fácil manuseio, até o presente atende as expectativas. ",Thích
249,5,Relógio lindo entrega antes do prazo,Thích
250,4,Veio conforme o anunciado simples mais bonita. ,Thích
251,5,Produto condiz com o anúncio ,Thích
252,4,satisfeito eu recomendo,Thích
253,5,"Amei, chegou rapidinho, ainda vou testa-lo.Obrigado!!",Thích
254,5,Gostei muito do que comprei com vcs muito obrigada breve farei outras compras vanda,Thích
255,4,"Recebi, a bolsa é diferente mas gostei estava previsto pra 31 de janeiro estava achando muito tempo porque é pra escola e estou aguardando o vale compra da primeira compra da bolsa que não deu certo ",Thích
256,5,"Recebi o produto que queria e antes do prazo combinado, muito bom, recomendo com certeza.",Thích
257,5,Produto entregue antes do prazo combinado. Não é a primeira vez que compro pelo site Lojas lannister e recomendo tal empresa pela seriedade no trato com os clientes.,Thích
258,4,Agradeço muito bom.,Thích
259,4,*******************,Thích
260,5,Dentro do previsto,Thích
261,5,Recebi antes do prazo estimado.,Thích
262,5,Só imaginei que fosse maior a boneca. Mais é legal ,Thích
263,5,"Atenciosos,ligam para dar acompanhamento. Bom prazo de validade. Demorou de chegar. Agora é verificar a qualidade do produto.",Thích
264,5,Muito eficiente entregou bem rápido eu recomendo,Thích
265,5,Otimo produto e entrega no prazo,Thích
266,4,"Chegou antes da data do prazo, porem vazou um pouco do produto! ",Thích
267,5,"Sempre que compro com vocês meus itens chega em perfeito estado....
",Thích
268,5,Produto entregue antes do prazo em ótimo estado.,Thích
269,5,Entrega super rápida. Produto de ótima qualidade. Recomendo.,Thích
270,5,"Produto lindo, ótimo",Thích
271,5,excelente,Thích
272,4,Entrega uma dia antes do previsto,Thích
273,4,"Demora um pouco pra esquentar, mesmo na potência máxima 5. Mas atende bem. Nos rimeiros dias de uso tem um cheiro meio que borracha queimada, mas passa... recomendo pela praticidade e custo/benefício.",Thích
274,5,"Foi entregue bem embalado.
Entrega rapido comforme prometido
Comforme a imagem.",Thích
275,5,Tudo ocorreu de forma eficiente,Thích
276,5,O produto chegou antes do prazo e em perfeitas condições. ,Thích
277,5,"produto conforme anunciado, e veio antes do prazo...perfeito",Thích
278,4,Produto bom e entregue antes do previsto.,Thích
279,4,"Ainda não usei em nenhuma viagem, mas parece ser muito boa.",Thích
280,5,Recomendo,Thích
281,4,Adoro comprar nas lojas lannister,Thích
282,5,"Entrega muito rápido, e produto excelente ",Thích
283,5,Ótimo ,Thích
284,5,Produto entregue,Thích
285,5,"Muito bom
",Thích
286,5,Recebi o produto que eh falso quero meu dinheiro de volta ,Thích
287,5,"Produto bom. Entrega antes do prazo
",Thích
288,4,Bom,Thích
289,5,gostei muito,Thích
290,5,"Gostei muito,chegou tudo certinho até antes do prazo de entrega.",Thích
291,5,Produto entregue dentro do prazo .,Thích
292,5,"Recebi o produto no prazo, tudo ok",Thích
293,5,Entrega no prazo e como descrito no site,Thích
294,5,A lannister sempre se superandoo,Thích
295,5,Fui surpreendido pela eficácia. Ótimo atentimento.,Thích
296,5,"otimo atendimento, tudo certo, entregue dentro do prazo.",Thích
297,5,"Obrigada pela qualidade do produto, e pela entrega tbm que era previsto para 10/08 e chegou dia 22/07. Adorei. Parabéns.",Thích
298,4,Ainda não utilizei o produto,Thích
299,5,"Muito linda deu um charme na minha sala.
",Thích
300,5,Ótimo atendimento e entrega antes do prazo.,Thích
301,4,Recomendo.,Thích
302,4,Otimo material bem resistente espaçosa 👏👏👏 gostei!,Thích
303,5,Ótimo serviço,Thích
304,5,Prestação de serviços de alta qualidade ,Thích
305,5,"Produto entregue bem embalado ,em perfeitas condições. ",Thích
306,5,"Chegou antes da data prevista , eu recomendaria para meus amigos a loja stark está de parabéns .",Thích
307,5,Tapete lindo.Chegou muito antes do prazo.,Thích
308,4,Gostei muito,Thích
309,4,Poderia ter agilizado com a entrega! Porém recebi o produto em ótimas condições!,Thích
310,5,"Protudo chegou em ótimo estado de conservação, e antes do prazo!",Thích
311,5,Produto de excelente qualidade e a entrega foi feita antes do prazo previsto. Muito satisfeita. ,Thích
312,5,"O produto é muito lindo e está com preço excelente! A entrega foi super rápida, ocorrendo muito antes do prazo! 
Recomendo! O quarto ficou irado!!!!",Thích
313,5,Muito satisfeito eu recomendo,Thích
314,5,Podem comprar sem medo,Thích
315,4,"gosto de comprar nessa loja porque agente ñ precisa avisar da entrega
",Thích
316,5,Excelente produto!!,Thích
317,5,Produto entregue no prazo nota 10,Thích
318,5,"Muito Bom , exelente",Thích
319,5,atendimento eficaz e entrega dentro do prazo,Thích
320,5,"Chegou um pouco antes do prazo, isso é bom",Thích
321,5,Gostei demais do travesseiro. É como descrito no site.,Thích
322,5,Super recomendo.entrega e produtos ok.,Thích
323,5,"Satisfeito com a aquisição e negócio.
Entrega no prazo, com produto bem embalado, com a Nota Fiscal, caixa original, garantia e manual do usuário.
Primeiras impressões o relógio está em perfeito.",Thích
324,5,Atendeu as expectativas,Thích
325,5,"MUITO BOM, ENCOMENDA CHEGOU CERTINHA",Thích
326,5,Produto chegou rapidamente e conforme o anunciado.,Thích
327,5,"Produto de qualidade, preço justo, entrega dentro do prazo.
O produto atendeu as minhas expectativas.
Recomendo o vendedor.",Thích
328,5,"Adorei o produto,chegou antes do prazo estipulado.Estou muito satisfeita.",Thích
329,5,tudo ok,Thích
330,4,Produto simples e bonito,Thích
331,5,Gostei muito da agilidade na entrega,Thích
332,4,Esperava maior um pouco,Thích
333,5,"Produto chegou antes do prazo, muito bem embalado pelo fornecedor, sem avarias.

A qualidado produto é muito boa.",Thích
334,5,Produtos muito bons! ,Thích
335,5,Otimo produto,Thích
336,4,o produto demorou um mês para ser entregue . tempo demais poderia ter chegado antes da data limite. fora isso tudo oK.,Thích
337,5,"só acho que poderia ter comprado mais cartuchos, mas não as fiz porque cada cartucho veio em um frete diferente, coisa que poderiam ser colocados em um único pacote, o que baratearia o frete.",Thích
338,5,Excelente serviço,Thích
339,5,comprei num dia e recebi no outro e a mercadoria é excelente!!!,Thích
340,4,"Conforme já solicitei, preciso fazer a devolução. Ele não foi entregue no prazo que eu precisa. Já solicitei por aqui e já entrei em contato com o vendedor. Estou no aguardo para fazer a devolução.",Thích
341,5,GOSTAEI DA RAPIDEZ DA ENTREGA,Thích
342,5,Parabéns ,Thích
343,5,"Produto chegou no prazo, em perfeitas condiçoes e veio embalado de forma incrivel. Muito bem embalado mesmo... Chegou sem nenhum arranhao! ",Thích
344,4,Comprei 2(dois) produtos iguais e tive que pagar 2(dois) fretes. A Empresa poderia ter colocado em uma única embalagem e cobrar apenas um frete. Produto entregue em perfeitas condições. Ótimo produto.,Thích
345,5,Ótimo produto!,Thích
346,5,Entrega muita rápida e produto em ótimo estado.,Thích
347,5,Gostaria de saber se o produto mudou de embalagem. Pois comprei a embalagem vermelha e recebi outra embalagem toda florida. Preciso saber se é o mesmo produto. ,Thích
348,4,"Lavabo bem bonito e igual a descrição, veio com uma mancha bem pequena, mas nada que seja um problema, recomendo.",Thích
349,5,Ótimo em TDS os aspectos,Thích
350,4,Aida nao recebi o produto,Thích
351,5,Recebi antes da data prometida. Recomendo esta loja. ,Thích
352,4,Demorou quase trinta dias .tempo demais,Thích
353,5,Gostei muito,Thích
354,5,Bom,Thích
355,5,"ate agora tudo perfeito, produto e entrega no prazo",Thích
356,5,"produto ok, recebido dentro do prazo, bem antes do previsto.",Thích
357,5,Tudo ok.,Thích
358,5,Ótimo produto! Recomendo!,Thích
359,5,bom,Thích
360,4,O produto chegou conforme anunciado. Gostei.,Thích
361,5,Dentro do prazo e informacoes do encaminhamento do produto de forma clara,Thích
362,5,Excelente. Recomendo.,Thích
363,5,Gostei,Thích
364,5,Loja de confiança chegou no praso,Thích
365,4,"amei o produto, super fácil de manusear e a lannister está de PARABÉNS, pois chegou BEM ANTES do prazo.",Thích
366,5,Super recomendo os produtos são lindos!!😍😍,Thích
367,5,Gostei muito do produto. Entrega muito rápida.,Thích
368,4,Excelente produto e a entrega chegou antes do prazo previsto!!! Ótimo,Thích
369,5,produto chegou antes do prazo estabelecido.,Thích
370,5,"Excelente chegou antes do combinado, parabéns!",Thích
371,4,Gostei muito do produto nao tem ardencia nos olhos e nem cheiro alisou 90% fos meus cabelos mais acho que da segunda vez ficara super liso.,Thích
372,5,Entregou antes do prazo estipulado. ÓTIMO. Por isso que sempre compro no site.,Thích
373,4,"APESAR DE NÃO TER UM BOM ACABAMENTO, O PRODUTO É BEM FUNCIONAL.",Thích
374,5,"Entrega perfeita, até antes do prazo. produto em perfeito estado e de ótima qualidade. ",Thích
375,4,aaa,Thích
376,5,Ótimo produto ,Thích
377,5,Veio certinho e super rápido! Amei meu lustre gente!!!!,Thích
378,5,"Bonito, bom e chegou rápido",Thích
379,4,Satisfeito ,Thích
380,5,Chegou dentro do prazo. Muito bonito. Valeu.,Thích
381,5,Muito bom recomendo,Thích
382,5,otimi produto entrega excelente,Thích
383,4,legal. tudo certo. entrega rapida,Thích
384,5,Amei....,Thích
385,4,Produto entregue antes do prazo. Bom custo benefício. ,Thích
386,4,O produto foi entregue antes do prazo. E aprovado!,Thích
387,5,"Chegou bem antes do prazo determinado, e tudo certinho amei o produto e super recomendo.",Thích
388,5,atendeu as expectivas,Thích
389,5,"Compro por que confio, minhas comprar sempre chegaram no prazo e até antes dele, nunca tive problemas eu recomendo.",Thích
390,5,Mercadoria conforme foi pedido. Chegou antes do prazo. Recomendo!,Thích
391,4,"Produto entregue, para os leigos como eu: as peças vêm desmontadas e devemos montar, algumas, tal qual a biciclieta, necessitam de cola para permanecer de pé: melhor opção é a cola madeira. ",Thích
392,4,"Bom, a resma chegou muitobem embalada, dentro do prazo e afora vamos testar para verificar a qualidade do papel.",Thích
393,4,Produto correto e entregue no prazo conforme acordado. Eu recomendo.,Thích
394,5,"Super recomendo ; para mim, foi uma agradável surpresa, o nível de atendimento da Amaricanas.com
Sensacional!!!",Thích
395,5,"Parabéns a loja lannister e o parceiro meu produto veio bem embalado e ele é mto lindo e grande do jeito que eu queria .
A cor marrom é conforme mostra na foto eu amei o meu pendente .",Thích
396,5,Maravilhosa ,Thích
397,4,Ainda falta a capa,Thích
398,4,Entrega foi rapida sobre o perfume é bom mas ja tive melhores mas pelo valor vale a pena ,Thích
399,5,"Ótimo produto, estou satisfeito com minha compra",Thích
400,5,bom tmb,Thích
401,5,veio no prazo e funcionando muito bem.,Thích
402,5,maravilhoso,Thích
403,5,Entrega rápida e pedido entregue conforme solicitado. Recomendo.,Thích
404,4,CUMPRIRAM...,Thích
405,4,"Muito frágil, mas funciona certinho.",Thích
406,5,"Comunicação e respeito com o consumidor. É raro,comprar aqui sempre",Thích
407,5,"Estou muito satisfeita, a rapidez que chegou o produto , bem antes do previsto",Thích
408,5,Melhor fantasia da vida,Thích
409,5,"Loja eficiente,entrega correta e antes do prazo.",Thích
410,5,ótima,Thích
411,5,Eu recomendaria essa loja. Chegou dentro do prazo. E ótima mercadoria ,Thích
412,4,adorei veio certinho muito obrigado,Thích
413,5,"Entrega feita e o produto é o que eu queria, muito bom!! ",Thích
414,5,"bom produto, veio sem neum defeito bom. ",Thích
415,5,Chegou super rápido e bem embalado.,Thích
416,5,Melhor site de compras pela internet!,Thích
417,5,Chegou muito antes do prazo!,Thích
418,5,"Chegou antes da data prevista, tudo ok",Thích
419,5,"eu tinha aberto a reclamação solicitando o reenvio ontem e durante a tarde aconteceu

grato",Thích
420,4,Foi Boa a compra recomendo,Thích
421,4,Produto dentro dom esperado.,Thích
422,5,"a troca mais rápida do mundo. Estou realmente impressionado com a eficiência do stark. Não tive nenhuma burocracia, o produto da troca estava em minha casa em um piscar de olhos. Parabéns.",Thích
423,5,Ótimo produto ! Prazo rápido !!!,Thích
