Unnamed: 0,review_comment_message,Sentimentabds
91,"Has quickly become one of my 'go to' tops. comfortable, cute, looks just like the picture.",
92,,
93,Great tank to wear to work or a night out. fits true to size.,
94,,
95,Way to v necked- other than that would be a nice go to top. needs a cami.,
96,Cute cute. simple tank with a little something to add interest.,
97,It is so simple but elegant and beautiful! i am 5'3 and 120 lb and extra small fits me perfectly,
98,Love this shirt with leggings. if you are in between sizes- size down,
99,Unusual color. expensive even on sale.,
100,"Love this dress! it is super-flattering, and the embroidery is beautiful.",
101,Great style!,
102,"These leggings are soft, comfortable and go with everything. love the way they feel.",
103,,
104,,
105,Too big and it's not secure enough to wear for swimming.,
106,"Omg - wish it came in more colors,,",
107,Very cheap looking material. looks cheap to cost $158.,
108,,
109,I was initially attracted to the colors,
110,Cute and comfortable! i loved the colors and how soft the shirt is!,
111,Super soft and comfortable. runs a little large. very cozy.,
112,Warn and super soft. love it !,
113,"Nice jeans, but had to return. too tight in hips/thighs and big in waist.",
114,,
115,"I have this wonderful sweater coat in three sizes (s,sp,m) in the coral, green",
116,This bra is so well made and fits beautifully.,
117,,
118,Love the color! very soft. unique look. can't wait to wear it this fall,
119,,
120,"This top reminded me of a maternity top. cute, but better suited for someone smaller chested.",
121,Runs a little big. fabric is very soft and comfortable,
122,Pretty pink top is great for layering iand alone in the summer and spring,
123,Great that it's hand washable because i hate the smell of dry cleaned garmets.,
124,Comfortable and great fit and color. high quality.,
125,"I definitely recommend this shirt. it's lights and airy, something you can wear everyday.",
126,Beautiful victorian look blouse. runs large and overly blousy on me.,
127,This top is really cute and true to size. i like the color and the nice details.,
128,I usually wear a size 8/10 and i needed a large in this skirt. it flows so beautifully!,
129,Love this tank. it has an easy fit that hides my post baby belly with out looking to wide.,
130,These were a little baggier than expected and the petite size ran long.,
131,This is such a pretty dress. light and flowy. i got it to wear on hot summer days.,
132,,
133,"If there ever was the perfect feminine dress, this would be it .",
134,I love this shirt! it hides my tummy perfectly without being too baggy! super cute!!,
135,Like the extra details on the neck and back - and it's versatile to wear everywhere,
136,,
138,"The green is a deep, beautiful shade. the fabric and fir is very flattering!",
139,,
140,I am obsessed with this top. it is even more gorgeous in person.... a real showstopper!,
141,"Absolutely love this top. it is beautiful, well made and so unique.",
142,"These leggings are wonderful. they are incredibly soft, and stay in place when working out.",
143,,
144,"Beautiful and very feminine look but run big. i m 5ft 105 lbs curvy , size 00 fit me well",
145,,
146,"Very nice top, fits true to size, a little short buy looks nice with jeans or work pants",
147,It's short and wide. not a good combo for anyone who isn't stick thin.,
148,"Very pretty but also very roomy. i'm using it as a swimsuit cover up, so it's perfect!",
149,The price is high and i have to dry clean this? no thanks.,
150,"Dress is very pretty, but very short, almost tunic length.",
151,,
152,"Looks fitted on, but this just turned out to be an oversized muumuu on. the fabric also felt cheap.",
153,,
154,Great fit and design but the wool is too itchy and rough. will need a layer underneath,
155,"Slighty fitted, flattering, very soft and not itchy. the orange is a very nice color.",
156,,
157,Love this top for the fall. looks great with dark skinny jean and booties.,
158,,
159,I love this! seriously would buy again. i wish it was warmer out so i could wear it,
160,Very cute! waist is a little big for me but overall a pretty good fit.,
161,"Love everything about it!! chunky, comfortable, lazy day or dress up with a cool necklace!",
162,Exactly as pictured. great fit. love it.,
163,,
164,This is such a unique and fun dress. i'm so glad i found it and it fits perfectly!,
165,,
166,,
167,,
168,Love this top. very easy to wear to lunch or site seeing. the fabric is soft and drapes nicely.,
169,I loved the jumpsuit but unfortunately had to return it due to running a little on the small size.,
170,,
171,"Decent quality. i am 5'4"" 130 pounds. m is too big. runs slightly large.",
172,"Very comfy and flattering. cool on a hot day. slightly difficult to use the restroom, though.",
173,Love sundry. great quality. if you want a looser more comfy fit size up!,
174,Beautiful colors,
175,,
176,"Runs large and pocket detail is very prominent. wanted a crisper, trouser-like pant--this is not it!",
177,These trousers are wonderful. the fabric is comfortable and does have a little give to it.,
178,"Very pretty top, comfortable and soft but looks nice enough for work!",
179,,
180,The material is cheap and looks torn. not as nice as the picture.,
181,,
182,,
183,,
184,"The color is as pictured, like a deep coral. very comfy and great drape.",
185,"Lovely embroidery with a classic look, great addition to your wardrobe.",
186,"Timeless skirt. just don't like the placement of the slit, so maybe i'll sew it up.",
187,,
188,"The dress was great! the zipper was just a little tough but over all a very classic, feminine piece.",
189,Gorgeous skirt. runs a bit big.  well made. perfect for the office and super comfy.,
190,Super cute and flattering!,
191,This sweater is comfortable yet still work appropriate. the ruffled shoulders adds a feminine touch.,
192,,
193,,
194,I feel like an indian goddess in this dress! lots of swing to it!,
195,I wore this dress to a party once and haven't been able to find an outfit that can top it!,
196,Adorable and amazing quality. true to size. i ordered a 6 and fit perfect.,
197,Love these pants. super light and great color. they are a bit long though,
198,"I love this shirt, it's easy to belt. i just wish it was tighter.",
199,"1. i'm 5'5"" tall, 143 lbs, and 38-32-40 and my normal size 10s fit me perfectly.",
200,"Love all pilcro, this is no exception. very flattering. slim fit but not skin tight. comfy!",
201,Nice length in tall.  order up one size: cut slim in body.  fabric lightweight bordering on flimsy.,
202,,
203,"This is a great basic t that works with shorts, pants, or a skirt.",
204,"It was very pretty,but it ran very big , sadly i had to return it.",
205,I absolutely love this gorgeous cardigan. i will wear it for years to come!!,
206,Great piece just wish it fit a bit more blousy rather than cami,
207,I loved this top . it is beautiful.,
208,Material is hard to wear a bra under it,
209,"Very soft fabric. does begin to ball up due to boucle material, very common",
210,Gorgeous dress! fits true to size with high quality material. the colors are stunning.,
211,"I love this top, wish they had it in more colors, i would buy more!",
212,,
213,"Super cute, flattering design but the material is itchy so it's going back:(",
214,"Comfortable, relaxed fit. i am very top heavy and the generous cut of this dress worked well!",
215,,
216,Love this sweater! great for work. very soft and comfortable. color is gorgeous!,
217,Has anybody washed this shirt a second time? just curious if it continues to shrink.,
218,,
219,"Love the fabric, so soft and comfortable. it gives a very flattering silhouette. love those pants.",
220,But if that works for you it is a cute pattern. this is a lighter weight sweater but good for fall.,
221,"I love everything about this top! the fabric, the color, the fit! great top for spring and summer!",
222,Love this. can be a jacket or blazer syle. fits well.,
223,,
224,Cute top and flattering to wear. fits nicely and i'd say true to size. can't wait to wear it.,
225,"Well fitting bra, comfortable (not itchy), lace doesn't show through tops.",
226,,
227,"This jacket was a gift for my daughter,it fit like a glove and she loved it !",
228,Fits great! love soft material. love with skinny jeans brown boots,
229,,
230,Love this shirt. it fits great and can be easily layered!,
231,"Great color, soft fabric, but waaaaay too long. more like a night shirt than a t-shirt.",
232,I need one in every color. so super soft.,
233,Very pretty blouse with nice detail. needs to be worn with a camisole however.,
234,This is the perfect casual top to wear alone or layered with a cardigan. love it!,
235,These pants are so comfortable and cute!! you can dress them up or down!,
236,,
237,"Excellent tunic tee. will be great with leggings or jeans, which is just what i was hoping.",
238,I love this tee. really comfortable and super cute too!,
239,This is such an incredible jacket. total show stopper and well worth the investment.,
240,"Cute top, a little less fitted than i was expecting.",
241,,
242,,
243,"Love this top!!
great colors and fits great
reasonably priced",
244,So comfortable and warm! so nice to lounge in a cold day and be cute!,
245,Hangs terribly off the chest. tent-like. looks maternity. no thanks.,
246,"So cozy and warm, great for the cold nights!",
247,I love the versatility of this top. i feel like i can wear it with anything to dress it up or down.,
248,This pullover is great for lounging! so warm and cozy!,
249,What a pleasant surprise! hugs in all the right places and a nice substantial material!,
250,Great pants! i love the style and fit! would highly recommend!,
251,,
252,,
253,Perfect summer pants until i wanted to pet my dog and they ripped first time wearing them.,
254,Wore it to an interview. the color is fantastic. it's beautiful and artsy. highly recommend!,
255,Love!!!! i got the green and it goes with so much!,
256,,
257,Love love love these pants!!! super comfortable and fit true to size.,
258,"The fabric is too sheer, also looks like sleepwear. just not my thing.",
259,,
260,"Cute, cool dress for hot summer days. very roomy. has pockets!",
261,"I'm 5'10"" and felt that it was just too short. otherwise - love it!",
262,,
263,,
264,Super comfy and longer than last year's version minus the hood. love it!,
265,"Beautiful shorts, good length but if you have lots of lower body curves- probably not for you!",
267,Beautiful summer top and so versatile! it's definitely worth it.,
268,"I'll be wearing this to holiday parties this year. pretty, fashionable, not fussy.",
269,,
270,,
271,Very pretty & shimmery. suitable for slightly dressier occasions. comfortable fit.,
272,,
273,,
274,,
275,Love the dolman sleeves and its the perfect length. throw on a cute necklace and go.,
276,"The fabric is very nice on this wrap, but it wears like a blanket.",
277,These are absolutely fabulous!!! love them! comfortable great fabric! best buy of the year so far!,
278,Matronly and unflattering. i think this may work on a very tall and slender body type.,
279,,
280,,
281,"I bought this in blue and can't wait to wear it, feels so soft. exactly like the picture.",
282,"Nice quality, not too thin like most white tops and the arms are cut just right. perfect length too.",
283,"With the pleats, probably need to tuck in shirt. these were too big for me, so need to return.",
284,This dress is so versatile. great summer wear!,
285,Another cloth and stone success! love the back! denim goes with most anything!,
286,Love the bright colors! made really well!! super soft and vibrant!,
287,"Very happy with the fit, sizing, and look of these shorts.",
288,Way too big and unflattering. i would love it to look like it does online but it's huge in person.,
289,,
291,,
292,This top runs larger so size down. i love it besides that. it's adorable!,
293,,
294,I love the way this top fits and the way it flows. i have it in two colors.,
295,This is my new favorite shirt!! you can dress it up or down. so comfy and totally flattering :),
296,"Love this shirt, can dress up or more casual. wish i would of purchased all colors!",
297,,
298,Love this crinkle cotton top for spring. the print is great and i can't wait to wear it!,
299,Love this easy caftan short dress so soft easy and so stylish,
300,,
301,Runs shorter than i expected.  i purchased on line but will be returning it for a larger size.,
302,Great color fit was very true to size,
303,A little boxy but will be a go to basic. the off set ruffle gives interest,
304,This top is easy with nice hem detail.,
305,,
306,"This cardigan is oh, so pretty! it does have a cropped length; it fall exactly at my waist.",
307,Super cute!! will be buying another color of this tee.,
308,"Love the design and colors
runs a but large through the middle",
309,The best shirt to throw on with a pair of shorts and it's effortlessly adorable!,
310,Soft and flowy and perfect for those in-between seasons.,
311,,
312,,
313,,
314,,
315,Love embroidery!,
316,The dress is too loose and runs too big,
317,,
318,,
319,"Love the fabric, fits true to size, great quality.",
320,,
321,Loved this dress but ran much larger than other maeve dresses i have ordered in the past!,
322,,
323,,
324,,
325,This product runs either really small or is super high waisted. either way not for me.,
326,Cute sweater to wear over a dress or tank top. looks better on than in the pictures.,
327,,
328,"I normally wear a xs, but i got a small so it would be a little longer. great quality and adorable!",
329,"Shoulders hide bra straps well - relaxed, but flattering fit. comfy, but can be dressed up!",
330,,
331,This sweater is super light-weight and is very cute.,
332,,
333,Was hoping i was going to love this top and i did. its a fun piece to dress up or down.,
334,I got this in the royal blue.it is absolutly beautiful.,
335,Loved the fit. the size was true and it felt so soft on.,
336,This is a lovely sweater but i wished i had ordered the xs (only the small was left).,
337,Lovely drape and design. true to size. more of a muted crimson/brick color.,
338,"Loved the look, fit and styling of this turtleneck. but dry clean only, you have to be kidding?",
339,Absolutely love this shirt. i purchased this in the black and blue. perfect for holiday parties.,
340,This sweater was cute and comfy and was true to size.,
341,"I was very pleased with this purchase. lovely print, good fit, and silky fabric.",
342,Pretty delicate lace top...love it! hits right at waist so not unflattering at hips.,
344,One of the most beautiful sweaters i've ever seen. i love it!,
345,"Didn't like at all. itchy fabric, looked good on model but on on busty girl.",
346,"Very soft, cute design, great over leggings!",
347,,
348,Just a lovely soft and easy cover piece. the back is so different and interesting.,
349,"This dress is beautiful! it is a nice, heavy fabric with stretch and just fits perfectly.",
350,"These run a tiny bit large, but i'm still keeping them. they are so soft and comfortable!",
351,Perfect way to add warmth in transition weather,
352,,
353,,
354,Fit great and cute. cannot wait for summer to wear with sandals.,
355,These pants are very soft and comfortable.  great for lounging around the house and for sleeping.,
356,,
357,Love these jeans however they get a little saggy in the front while wearing which i don't like :/,
358,Super cute dress but the waist band is very large and bulky.,
359,,
360,"Cozy slouchy sweater. very versatile. fits tts, just as shown on model.",
361,,
362,"Soft, pretty design and perfect length. i'm 5'6"" and the m fit perfectly!'",
363,,
364,,
365,,
366,"Very disappointed in this top. i have a short waist, and it was still too short for me. :-(",
367,"I love this shirt. great mix of chic, comfortable and feminine! can wear for many occasions!",
368,Super cute top! thin!! would look great layered! not crazy how it looked by itself!,
369,This top has great lines and has a very flattering fit.,
370,,
371,This is a fantastic top to wear with the paige high wasted flair jeans. love it,
372,As all the reviews say it is completely sheer. it's a very cute top other than that.,
373,"The petites fit perfect!!  these are so comfortable, i will get much us out of them!",
374,,
375,,
376,,
377,"This is my third pair of these pants. they are my everyday staple, good for work or play",
378,Very cute and great fit. i removed the belt (it's removable) for a different look.,
379,"I love these bottoms. great colors. i also love the feel of the bottoms, very soft. high quality.",
380,,
381,Soft. fitted without being tight. flattering neckline. nice embroidery.,
382,,
383,Perfect fit for my size. it elongate my petite frame.,
384,"High quality, and worth full price.... but way too small. also a bit short in the torso.",
385,Beautiful choice...beautiful fit for my daughter's slim body,
386,Really well made. beautiful. sadly it is very short. not a tunic at all.,
387,Comfortable and flattering for all body types...good for both day and evening...,
388,I love the idea but it is more of a over sweater than to wear by itself like model... too big/baggy,
389,"Really liked this dress, but it ran too big for me.",
390,Beautiful lightweight cardigan. the sheerness is really pretty. ordered one for my sister too!,
391,Flowing top that looks great with skinny slacks... makes a great and comfortable work outfit.,
392,This shirt is wonderful! i totally recommend it for everyone.,
393,For reference i am wearing a medium in the photos and my measurements are 38-30-40.,
394,This fits like a dream! the almost three quarter length sleeves are perfection. worth every penny!,
395,Comfortable fabric and beautiful print! light enough for the summer but is also great for fall.,
396,,
397,Very flattering to a woman's figure. can dress up or down.,
398,"This is a pretty, yet comfortable dress. perfect to wear to work or out to brunch with the girls.",
399,Very nice and the sleeve have a great design and the length is finally long enough,
400,,
401,"Great length if over 5'5"". ran at least 1-2 sizes smaller. great wash",
402,Such an amazing shirt to dress down for a long day at school,
403,Love the tee but it is very thin. best for layering,
404,,
405,Great fit and very cute design. goes great with jeans.,
406,"A beautiful, comfortable dress with it's own unique style. a must to add to your wardrobe",
407,,
408,,
409,This dress overwhelmed me. i'm 5 feet tall and the print and material just took over.,
410,,
412,,
413,,
414,Material is too thin and quality is poor,
415,,
416,Loved this sweater but too boxy,
417,The material is soft. it looks perfect with ankle jeans or flare jeans.,
418,Cute denim shorts that roll up or down. perfect with everything.,
419,"I love the cut and ""swing"" of this tee. the royal blue is very saturated and pretty.",
420,,
421,,
422,Lovely foxy sweater. i dressed it down for work but would look fantastic with a pretty skirt too!,
423,"I also have this dress in 3/4 sleeve, tegan tunic. i love this dress. it can be dressed up or down.",
424,This dress fits and hangs so nicely. it is so versatile as well. dress it up or down!,
425,This is a very cute designed shirt but it fits very boxy and runs large,
426,"Wonderful and comfortable dress, very sweet.",
427,,
428,,
429,"Very cute on, fits well. versatile top, i think it will work well with a sweater or blazer for fall.",
430,Cool cut and texture a winner,
431,This romper checks off all the boxes! it's beautiful and the fit is perfect!,
432,This romper is adorable!!! i love the long sleeves!,
433,,
434,"Casual dinner out dress love the color, mine is navy.",
435,,
436,Sooooo soft! not a ton of shape but very versitile and warm!,
437,,
438,"Ordered this as a gift.  she said it is great!  nice fabric, great fit.",
439,I got this dress in neutral motif. looks very cute and the size is perfect.,
440,"I love this dress .
perfect fit and very good quality.",
441,,
442,"I love these pants, they are soft versatile and stylish! great choice!",
443,,
444,,
445,,
446,,
447,,
448,This is awesome multi-season dress.,
449,It is easily paired with a nice tip for work and feels great to wear all day,
451,This is adorable but if it truly has to be dry-cleaned that is deal killer,
452,"I love the style of this dress, comfortable but chic, and it feels great!",
453,Heavier fabric than it looks but cute and versatile. flattering as well!,
454,These are the perfect tights-fit and feel are top quality and they wash well!,
455,,
456,I really like the skirt! it's very comfortable and i can wear it with  so many colors.,
457,,
458,"Casual, pretty. runs a little large, especially through the waist, but a great comfortable shirt.",
459,This price is amazing and goes with everything! fits great! so glad i made this purchase.,
460,It's comfortable and easy to wear with lots of styles.,
461,,
462,,
463,"This is a great casual skirt for summer, color pairs well with many tops.",
464,,
465,I am amazed this is still on sale. it's so comfortable and fabulous!!,
466,Although not the highest quality of clothing i've ever received from retailer they are still comfy.,
467,A great little dress that can be dressed up or down.,
468,"Dress fits perfectly and is extremely comfortable. great for day or evening. love it!,",
469,Gave this sweater to my mom this christmas and she has hardly taken it off...so cozy and cute!,
470,Like these pants and they were on sale--does not get better!,
471,Cute and comfy. looks like i will be able to dress up a bit too. fabric and fit are great!,
472,This dress is so cute but it definitely is highly as other reviewers have stated.,
473,These are great for lounging around or even wearing to work as they can be dressed up or down.,
474,Love this top!,
476,,
477,Super cute well made dress. runs very small. order at least two times your typical size.,
478,The sleeves are fitted which i love. works with a belt or without.,
479,"Love everything about this dress...cut, color, material and price!",
480,This dress has style and a delicate balance between design and the beauty of the material.,
481,"Super cute, flowy, and flattering. i would buy again in a heartbeat.",
482,"I got this in black with white dots. fits great, flattering and helps hide middle section.",
483,,
484,,
485,,
486,I absolutely love this dress. it's great quality and fits perfectly.,
488,Order a size down,
489,The most important thing is that my husband said he really liked the dress when i put it on.,
490,"Great dress! needs a tank top underneath, but has a great shop.",
491,,
492,They make your butt look great! very whimsical design.,
493,,
494,I normally wear a large but this had no give through the bust! beware big chested girls!!!,
495,,
496,"Love just know the embroidery is navy blue wearing them today, size down",
497,Love it! perfect casual look with a jacket and booties,
498,I bought this shirt along with a matching vest and duster........love it!,
499,,
500,"Nice lines, just a bit tight if you have larger / more muscley shoulders.",
501,,
502,"Such pretty pattern and colors, pleased with dress",
503,This shirt is wonderful! i love the styling and the print. sure to be a favorite!,
504,,
505,I love this top! the length is just right and i love the flow of it!,
506,,
507,I love this shirt. i bought the ivory color. it's incredibly comfortable and an easy style.,
508,,
509,"The sales girl added this to my room, it's so darling and it came home with me.",
510,,
511,,
512,These pants have great style and movement.,
513,,
514,Fit great. hang nice. extra loop to hold belt. perfect design.,
515,The shirt is beautiful but slightly long. it is see thru and you do need to wear a cami underneath.,
516,,
517,,
518,,
519,Cute top. fits short but roomy. will get a lot of use in my wardrobe.,
520,This shirt is super soft and comfortable! luckily it's a good length and not at all short!,
522,"It is a pretty tank, the fabric feels nice and substantial.",
523,"This dress is beautiful and fit exactly as pictured. i'm 5'9"", 140 lbs and a size 4 fit perfectly.",
524,,
525,,
526,,
527,"Gorgeous, but so big. i got eh pxs and it's like a mumu. i wiill return",
528,"A bit wide in the torso, but the detail at the bottom of shirt makes up for it.",
529,"Loved the look, quality was great, but didn't work for me. too busy and off-fitting. i did return.",
530,"Tiny collar and short bodice length. lovely fabric, soft and silky.",
531,"Beautiful angel of the north sweater! tts, lovely color and a staple classic.",
532,I liked this top okay but i did not think it was worth full price. i thought it was only average.,
533,,
534,Such a cute top! i got the black with tiny car faces on it. absolutely adore it.,
535,,
537,I'm so glad i tried this dress on to see how lovely it is. definitely a keeper!,
538,,
539,I love these pants and wear them all the time. i wish they hadn't been discontinued,
540,Love this white jean jacket! love the stretchy fit.,
541,Got the green one,
542,,
543,"Classic tank with the perfect fit!
soft aqua perfect for summer.
fit is very true to size!",
544,Nice color and great work but runs little large.,
545,I wore this bodysuit once. it had a hole under the arm when i took it off,
546,,
547,,
548,So beautiful! i got the xs and it fits tts! it goes with everything! perfect weekend addition!,
549,,
550,"Comfortable but if you put in the dryer, even on low it will shrink a little so beware",
551,I love the great variety of fabrics and textures used in these joggers - you will also!,
552,"Love these pants, i am 5'2 and these fit in length nicely!",
553,The shirt was cute. i'm very petite and it ran very wide so didn't fit me well.,
554,I would have liked it but it was too small for me.,
555,,
556,I lived the front and back designs but didn't like the fit.,
557,"Beautiful dress! it looks fresh, feminine and the quality of the fabric is very nice.",
558,"This shirt is super cute and stylish, but too wide for my liking.",
559,Great with a tank top underneath and jeans. i also wore with a delicate gold necklace. charming!,
561,Love this shirt! looks perfect with a pair of jeans! makes the outfit with out any effort!!!!,
562,Great dress for fall! runs slim through the hips and neckline is a little low.,
563,"Love this little ""throw on and feel comfortable all day"" tee shirt",
564,,
565,It is very sheer which is too bad because the design is super cute.,
566,"What a disappointment and for the price, it's outrageous!",
567,"This top is really cute but shorter in length than expected.  plus, it shrunk considerably!",
568,Love this dress. fits true to size!! can be dressed up or down. very flattering1 prettier in person,
569,"Have not worn them yet, but they are so soft and pretty. seems like a good item to travel with.",
570,,
571,I love this top. it comes with its own camisole. the embroidery is lovely and the fit is perfect.,
572,,
573,It's nice material but the design makes you look like a pregnant lady,
574,Very attractive and well fitting. absolutely recommend it.,
575,Love this blouse and stunning color. the ruffles make it special and different!,
576,,
577,Tts - bought my usual pilcro size. enjoy the fit of these better than the serif style.,
578,I love these cords! soft and great fit. bought three colors!,
579,Great fabric and color but fits like a potato sack -- so sad bc i would have loved it,
580,Out of stock so quickly in my size. please restock!,
581,,
582,,
583,,
584,"Very comfortable, but ran small. great quality and great look.",
585,This dress is beautiful. fabric is thin but the details are perfect.,
586,This is great just to have and throw on.it is a everyday piece.,
587,"Uncomfortable in the leg area, but otherwise very flattering.",
588,I absolutely am obsessed with this poncho! it is the perfect piece for fall and so easy to layer.,
589,"This runs way big, i'm a size 8, purchased the medium. it's just big with no shape.",
590,,
591,I love this poncho. i would wear it to the beach or even for fun outing like wine tasting!,
592,,
593,I love all my retailer clothes! it's my favorite store! i even love the displays!,
594,"Flattering poncho, pair well with leggings or skinny jeans and booties",
595,,
596,"I found that this dress ran very small. i am true 8, ordered a 10 and it was snug",
597,The print is even better in person! true to size. flattering fit.,
598,I am wearing a large in the photos and for reference my measurements are 38-30-40.,
599,,
600,"This jacket fits great! i got a medium, and am 5'6"" , 140 lbs. very nice light weight jacket.",
601,"This shirt runs boxy, but the print is as cute as it looks online",
602,,
603,This pullover is a great purchase. the color is simply stunning and is very comfortable.,
604,Love the fit. nice and warm and good quality material.,
605,I'm on the fence about this one. it is pretty,
606,Beautifully cut and styled!its versatile and can be paired with trousers or a skirt,
607,,
608,Love this dress! it is so comfortable and can be worn as casual or dress up.,
609,"I ordered a large and it was skin tight, if that's the look you're going for..",
610,,
611,,
612,,
614,,
615,,
616,"Fit is okay, the style of the shirt and the purple flowers are beautiful!",
617,Great shirt.  love the detail in back.  feminine and different than the average t,
618,"Nicer twist on the casual tshirt. soft, comfy. love the purple.",
619,,
620,,
621,This is the perfect holiday dress. my best purchase of the season!,
622,I like this shirt and think its very feminine.,
623,"I am wearing a medium in the photos, my measurements are 38-30-40 for reference.",
624,Tts and comfortable. this t shirt brings flair to everyday wear and i purchased on sale for a steal!,
625,Cute but classy top because of the embroidery at the bottom!,
626,I'm dying for this skirt in the picture. where is it??,
627,,
628,Got the mustard and grey. very cute. looking forward to wearing it,
630,Great basic but with a little something special to it. great t all around!,
631,"The jacket is cute, it runs small but looks good. i like it even though it feels tight on my arms.",
632,"Beautiful dress; however, the top was small for my chest and the rest ran large.",
633,This romper was cute and short but not too short. the fabric is soft and elegant.,
634,"I love this sweater. it's warm, comfortable, and soft. nice quality too.",
635,Well made & lined. great find for the fall!,
636,Bought this for a vacation to mexico with my boyfriend. super flattering and soft. big thumbs up!,
637,,
638,Wore for the 4th with white jeans super cute love the ruffle,
639,,
640,,
641,Easy to wear dress that looks polished and professional for work.,
642,Love this tshirt! casual but can be dressed up with wedges and a scarf!,
643,,
644,Great dress that can be casual or dressy. well-made and comes with.a built-in slip.,
645,,
646,This shirt runs extremely large. looks boxy and unflattering.,
647,I ordered this dress in 0p since i am 5ft. it fits great its not too short just above the knee.,
648,"Too thin at bottom where lace is.  couldn't sit in the dress without worrying i was ""hanging out""",
649,,
650,,
651,This is an attractive shirt but runs big. i ordered the black and white.,
653,,
654,The shade of orange was quite muddy and not vibrant like photos show. it's going back .,
655,The print and fit of this dress is perfect! it's very flattering and slimming.,
656,,
657,I saw this dress on someone and knew immediately i had to have it.  it is stunning in person.,
658,"This worked for me, very elegant, cozy and comfortable.",
659,"Beautiful,well made top.it just runs small not for me",
660,Extreme comfort for travel and out door activities.,
661,,
662,These pants are really cute and comfortable. the fit is very nice.,
663,I have always been partial to palazzo pants. these fit like a dream and are very comfortable.,
664,"Great fit and style. the color is perfect for spring, they have a nautical feel to them.",
665,I love these pants! so comfortable and the material is so soft.,
666,"Great fit, comfortable and stylish. easy to dress up or down, excellent item for any wardrobe.",
667,They fit perfectly and the stretch makes them very comfortable.,
668,,
669,"Boxy, short & wide! luv this brand but super disappointed with this design...",
670,,
671,Absolutely beautiful dress. i'm 5'11 and this dress works for tall girls:)),
672,Runs large and it also had a small hole in the back had to return it.,
673,"This is a very pretty, feminine top with nice detailing.",
674,,
675,Beautiful and delicate!!,
676,Love this dress! accents your curves and slims you waist!,
677,"Cute pattern, but the shirt is very thin and runs small and short!",
